player,goals,assists_primary,assists_secondary
Logan Morrison,0,1,0
Louka Henault,0,1,2
Luke Evangelista,0,1,1
Luke Moncada,0,1,0
Macx McCue,0,1,0
Marc Boudreau,0,1,0
Markus Phillips,0,1,0
Michael Bianconi,0,1,0
Michael Vukojevic,0,1,0
"NA",0,20,81
Nathan Staios,0,1,0
Nick Grima,0,1,1
Reid Valade,0,1,1
Riley Piercey,0,1,0
Ryan Campbell,0,1,0
Ryan Suzuki,0,1,1
Ryan Winterton,0,1,0
Sergey Popov,0,1,0
Serron Noel,0,2,0
Ty Voit,0,1,0
Tyson Foerster,0,2,0
Victor Hadfield,0,1,0
Wyatt Johnston,0,1,0
Zack Terry,0,1,1
Adam Samuelsson,0,0,1
Adrien Beraldo,0,0,1
Aidan Prueter,0,0,1
Anthony Popovich,0,0,1
Avery Winslow,0,0,1
Axel Bergkvist,0,0,2
Blake Murray,0,0,1
Brandt Clarke,0,0,1
Christian Stevens,0,0,1
Daniel Murphy,0,0,1
Davis Young,0,0,1
DJ Busdeker,0,0,1
Drew Wawrow,0,0,1
Dustin Hutton,0,0,1
Emmet Pierce,0,0,1
Emmett Serensits,0,0,2
Ethan Burroughs,0,0,1
Ethan Cardwell,0,0,2
Ethan Del Mastro,0,0,1
Fedor Gordeev,0,0,1
Graham Dickerson,0,0,1
Isaac Langdon,0,0,1
Josh Wainman,0,0,1
Justin Pringle,0,0,1
Kyle Jackson,0,0,1
Logan LeSage,0,0,1
Luka Profaca,0,0,2
Luke Beamish,0,0,2
Mason Howard,0,0,1
Matthew Struthers,0,0,1
Matvey Guskov,0,0,1
Nathan Allensen,0,0,1
Nathan Dunkley,0,0,1
Nikita Okhotyuk,0,0,1
Ole Bjorgvik-Holm,0,0,1
Owen Robinson,0,0,1
Ryan Del Monte,0,0,1
Ryan Stepien,0,0,3
Sam Sedley,0,0,1
Tyler Tucker,0,0,1
